,content
18,"[여행꿀팁] 인천공항 터미널별 항공사 & 공항 노숙 명당 안녕하세요. 천국나그네입니다. 여!기서 지금 행!복할 것. 여행을 출발했습니다~ 집을... 인천공항 터미널별 항공사 이용안내 <제1여객터미널> 아시아나, 제주항공, 진에어, 티웨이, 이스타항공, 에어서울, 그리고 기타 항공사 제가 알기론..."
19,"항공사와 여행사의 동향을 알려드리겠습니다! 항공사는 현재, 실크에어는 오는 5월2일부터 부산~싱가포르 직항 노선에 주 4회 신규 취항합니다! 매주 화 목 토 일요일 오전8시 출발하여 현지시간 오후 2시15분에 도착하는 일정이라는 사실! 부산 시민들은 이제 싱가포르로 여행하기 위해..."
20,"항공사별 마일리지 유효기간 체크하세요! 해외여행을 자주 다니시는 분이라면 각 항공사별 마일리지가 적립되어 있을 것입니다. 뿐만이 아니라 신용카드 사용에 따른 항공사별 마일리지 적립으로 인한 누적 마일리지도 있을테구요! 전 개인적으로 누적된 마일리지를 부산-서울, 부산-제주 같은..."
21,"대형 항공사들의 연료효율성 비교: TPI 연구보고서 항공산업은 전 세계 이산화탄소 배출량의 2%, 운송 관련 배출량의 12%를 차지하고 있어 기후변화에 중요하고 빠르게 영향을 주고 있다. (The airline sector makes a significant and fast-growing contribution to climate..."
22,살람~ (이슬람 나라의 인삿말) 오만 저비용 항공사 '살람 에어'를 타고 이란 쉬라즈로 갔다. 항공권 구매는 2개월 전에 했고 왕복... 호르무즈 해협을 건너고 있다. #오만여행 #오만항공 #오만한물가 #살람에어 #중동항공사 #살람 #머스캣공항 #무스카트공항
23,이번 추락 사고를 유발항 항공기종  보잉 737 맥스 8  보유한 한국항공사와 전세계 항공사 리스트를 알고 자신스스로 판단해서 탑승유무를 결정해야 옳을 것이다. 이미 보잉사에서 동일기종 동일(유사)사고가 발생한 최신 기종이기에 그 심각성이 더하는 것이다. 개인들에게 이런...
24,"25개 항공사가 동기종 145대에 대한 운항정지 결정을 내렸다. 보잉 737-MAX8 기종은 보잉의 737 패밀리중 최신의 기종으로, 737 원형은 50년 이상 전세계 항공사에 의해 운항중인 베스트 셀러 기종이다. 단일 복도를 가진 동체로 비교적 소형 기종이나, 그만큼 수요도 많아, 1968년 첫 상업..."
25,세계에서 가장 안전하고 서비스가 좋은 항공사는 어디일까? 항공사 서비스 평가 업체인 에어 라인 레이팅스 닷컴이 2019년 세계 최고 항공사 선정 결과 싱가포르 항공이 1위를 차지한 것으로 나타났다. 2위는 지난해를 포함해 과거 5년 동안 평가에서 연속으로 1위에 올랐던 뉴질랜드 항공이...
26,"에어아시아는 자신들을 스스로 저비용항공사 업계의 왕이라고 부르기를 주저하지 않는데, 그 명성에 비해 대한민국 안에서는 그 자랑스러움이 제대로 어필되지 않고 있다는 나름의 조바심 같은 게 있었던 것 같다. 최고이며 최다를 말하는 건데 왜 이렇게 여유가 딱히 없어보인다는 느낌을..."
27,"#마일리지, #대한항공, #아시아나, #스카이팀, #스타얼라이언스, #마일리지적립 요즘 저가 항공사 노선이 확대되면서 사실 마일리지 적립이 쉽지 않으나, 나의 마일리지 적립 방법을 소개한다. 국내에서 주로 다닌다면 두 가지 정도만 알면 된다. 대한항공 마일리지 대한항공+스카이팀+제휴항공사..."
28,"항공동맹체 혜택 : 스타얼라이언스, 스카이팀, 원월드 혜택 및 세계 10대 항공사 항공동맹체 - 스타얼라이언스, 스카이팀, 원월드 항공사들은 혼자 전 세계 노선을 커버할 수 없으므로 타 항공사들과 제휴 연합을 통해 부족한 노선을 보완을 하고 있습니다. 이렇게 제휴 항공사들이 모여..."
29,뉴욕타임스 Travel의 알찬 여행 콘텐츠를 여행+에서 만나보세요 항공사들이 어린이 시장에 주목하고 있다. 장난감 있는 어린이용 키트를 선물로... 뉴욕 소재 여행사 스카이락 최고경영자(CEO) 폴 텀포스는  아이들이 행복하면 부모도 행복하다 며  이런 경험은 다음에 여행할 때 같은 항공사...
30,[여행 빅데이터] 대한 아시아나 이미지 하락에 뜬 항공사 어디? 안녕하세요. 여플(여행+) 장주영 에디터입니다. 지난해 항공업계는 각종 논란으로 시끄러웠습니다. 특히 양대 국적항공사인 대한항공과 아시아나항공이 시련을 겪었죠. 호된 법적 조치와 언론보도에 많은 항공고객이 실망했고...
31,"대한항공 스카이팀 회원사 및 제휴항공사 탑승하고 대한항공 마일리지 적립하기 에어로플로트 (러시아항공), 에어프랑스, 알이탈리아, 중화항공, 동방항공, 델타항공, 가루다인도네시아항공, KLM (네덜란드항공), 베트남항공, 하와이안항공, 남방항공 등을 탈 때 해당 항공사 마일리지프로그램을..."
