,content
280,"멕시코 항공사 할인 간만에 CNN 에 들어갔어요. 월드컵 얘기 떠들썩 하려나 했는데 진작에 예선 탈락한 미국이기도 하고 축구보다... Aeromexico(항공사)로 인해 멕시칸들은 할인된 가격으로 한국 사람들에게 ""직접"" 고마움을 표할 수 있게 됨        이 항공사에서..."
281,"호주 대표 저가 항공사 : 젯스타 (콴타스 그룹 소속) 덴파사(발리)에서 브리즈번 직항 운행하는 항공사는, 버진 오스트레일리아, 젯스타, 말린도에어가 있구요. 작년에 발리에서 브리즈번 올때 버진 오스트레일리아 B737-800 (협동체) 밤 비행기 타고 새벽에 도착하는 스케쥴로 오니, 너무 피곤해서..."
282,저가항공사가 파라과이 노선에 취항하는 것을 검토중이라는 소식이 보도됐다.저가항공사의 파라과이 노선 취항 협상이 최근 시작됐으며 파라과이 여행객들이 훨씬 저렴한 항공편을 통해 해외여행을 할 가능성이 높다는 아베세지의 보도다. 유럽에서는 서로 다른 국가의 도시를 오가는...
283,"기존 항공사 유형 다변화 및 업종간 경계 약화, 고객중심주의 강화 등 차원에서 빠르게 변모하는 동향을 보임.   국내/아시아 지역 항공운송업계는 전반적으로 글로벌 트렌드와 상이한 모습을 보임 : 국내 항공운송업계는 물론 아시아 시장 전반적으로 타 지역과는 달리 다수의 항공사가..."
284,"콩콩이입니다 :D 올해에는 여행을 갈 일이 많아질 예정이라 항공편을 알아보다 스타얼라이언스 항공사는 어디, 몇개 항공사가 회원인지 스타얼라이언스 마일리지를 적립하기 위해 정리해볼께요! 스타얼라이언스(STAR ALLIANCE) 아시아나가 정규 회원항공사로 가입되어있는..."
285,항공사들이 항공기 연료 비용을 절감하기 위해 비행기를 이용하는 승객들에게 머지않아 비행기 탑승 전 체크-인 데스크에 있는 '압력 패드... 항공기 이용 승객들은 앞으로 '연료 절감과 대기속 배출물 감소'를 이유로 드는 항공사들의 달갑지않은 요구에 의해 거기에 따른 수치심으로...
286,"그래서, 일정정하기와 어떤 항공사를 선택할 것인가 고민했습니다. 우선 항공권 부터 확인해야겠죠. 저가 항공사로 경로를 스카이스캐너를 통해서 검색했습니다. 바르셀로나-리스본 , (리스본서 포르토로 이동) , 포르토-바르셀로나 이렇게 검색했죠... 그런데, 점차 가격이 조금씩 올라가는..."
287,"항공업종 대형항공사 (대한항공, 아시아나항공)주가, 핵심이슈는? 항공주 어디로 갈까? 1. 오늘 항공주를 주제로 선택한 이유는? 항공업계가 갈수록 머리가 아픈 일이 많은 것 같아서, 특히 대형 국적항공사 즉, 대한항공, 아시아나 항공이 2. 대한항공, 아시아나 항공 국적 대형..."
288,"  김승재 아나운서: ""대한항공과 아시아나항공, 두 대형 항공사들이 동병상련을 겪고 있습니다.""   이윤정 아나운서: ""두 회사 모두 최근... 저비용항공사와의 노선 경쟁이 심화하고 있고, 항공화물 업황 부진까지 겹쳐 어려움이 가중되고 있습니다. 잦은 기체 결함으로 인한 지연 운항도..."
289,국내 항공사들이 항공기 도입을 위해 매년 약 3조원을 해외 리스 업체에 맡기고 있는 것으로 확인됐다. 국내에 항공기를 전문으로 취급하는 리스 회사가 없어서 벌어지는 일이다. 저비용항공사(LCC) 위주로 항공기 도입 경쟁이 벌어지면서 국내 항공 시장이 글로벌 리스사들의 놀이터가 되고...
290,"아시아나항공은 현재 전 국적 항공사에서 유일하게 기내 인터넷과 스마트폰 로밍 서비스를 제공하는 최신예 기종 A350을 후쿠오카, 하노이, 런던... 여객기를 확보해 장거리 노선 공급을 전체 공급석의 60%까지 늘리며, 이를 통해 `장거리 네트워크 중심 항공사`로 도약할 방침이다. 자료-매일경제"
291,일부 항공사만 마지막 정거장 제2터미널을 이용하게 됩니다. 육로가 아닌 항공기는 언제나 위험 인화물에 대한 주의는 당연지사 부치는 짐의 경우... 다시 한번 여객 터미널의 구분으로 혼란이 생길 수 있으니 소수의 항공사가 이용하는 제 2 여객터미널을 다시 한번 확인드리고 포스팅을 마칩니다....
292,"현재 인천공항 제2여객터미널은 대한항공, 델타항공, 에어프랑스, KLM네덜란드항공 4개의 항공사만 사용하고 있습니다. 하지만, 10월 28일 겨울 시즌이 시작됨에 따라 스카이팀의 추가 항공사가 제2여객터미널로 이전하게 되었습니다. 제2여객터미널로 이전하게 되는 스카이팀 소속..."
293,"오늘은 항공시장에서 또 하나의 내용을 가지고 왔는데요~ 항공사 이용객이 매년 증가하는 것은 알았지만, 작년에는 무려 1억명을 돌파 했다는... 국토교통부에 따르면, 지난해인 2017년도에 국내항공사 이용객이 1억명을 돌파했다고 합니다. 이것은 한국 최초의 항공사인 대한항공공사가..."
294,"아기와 해외여행 할 때 항공사 서비스 미리미리 챙기세요! 이번에 울 서현둥과 함께 해외여행 가게 되면서 비행기 잘 탈수 있을까... 엄청 걱정이 많았는데 항공사에서 아가 탑승자들을 위한 혜택들이 참 많더라구요. 미리 전화로 예약해서 이용할 수 있는 서비스도 있고, 출국하는 당일에 제공되는..."
295,꽤 큰 규모로 현재 저가항공사등은 셔틀트레인을 타고 옆쪽 탐승동에가서 탑승하는 듯 불편이 큰데요... 이번에 인천공항 제2여객터미널이... 항공사 틀리면 다시 이동해야해요       각 터미널마다 탑승가능한 항공사도 다르니 비행기 탑승전에 체크해야할 사항이 하나 더!! 늘어나는 샘이쥬...
296,남미여행 중 이용하게 되는 항공사 문의하셔서 제가 이용한 남미항공사 홈페이지 주소 올립니다. 저는 이들 항공사에서 남미내에서 이동하는 항공권을 예약했습니다. 우리나라 항공사 홈페이지에 비해 불편하게 된 면이 많아서...
297,"일본 항공사와 중국 항공사의 JV로서는 최초입니다. 두 항공사의 JV가 완성되고 양국의 허가를 받는다면, 일본-중국 노선에서 단독 1위로 부상하게 됩니다. 특히 도쿄-상하이 노선에선 동방항공의 100% 자회사인 상하이항공을 합산할 경우 52%에 달하는 높은 점유율을 얻습니다.[1] 일본-중국..."
298,"각각 저가항공사를 거느리고 있지만요. 그래서 찾아봤습니다. 스카이팀, 스타얼라이언스 제휴항공사를요 ^^ 저는 이번에 네덜란드의 KLM 을 타기로 되어있어요. 다행히 Korean Air 와 동맹을 맺었군요     마일리지를 합산할 수 있다는 장점이 ^^v 1. 대한항공이 있는 Sky Team은 20개가..."
299,인천공항 말레이시아항공 체크인과 항공사 협회 라운지 후기 지난 3월 말레이시아항공에서 비즈니스석 특가!! 프로모션을 해준 덕분에 5월... 근처의 항공사 협회 라운지였습니당 내가 탈 게이트는 10번이었는데 라운지는 46번;;; 너무 멀더라구요  이런 외항사들이 함께 사용하는 항공사 협회...
300,안녕하세요 별짐이여러분~ 여행철인 만큼 세계 항공사 순위를 섞어서 간략히 알려드리려합니다 그럼 참고하셔서 여행 가실 때 도움이 되셨음 좋겠습니다^^ 세계 항공사 순위  아나항공  일본의 아나항공은 장거리 노선에서 퍼펙트한 점수를 받아 좌석 타입에서도 거의 만점가까이 받았다는데요!...
301,대한민국 항공사 종류 알아보기! 1. 대한한공 1962년 6월 19일에 설립된 회사로서 대한민국을 대표하는 항공사이다. 국내 및 43개국 111개의 도시에 운항중이며 대한민국 최대 항공사이다. 한진계열사이며 코스피에 상장되어 있다. https://kr.koreanair.com/korea/ko.html 대한항공...
302,"항공사에서 일하던 시절, 귀에 딱지가 앉을 정도로 많이 들었던 이야기입니다. 항공사 직원이니까 공짜로 비행기를 탄다고 착각하고 있는 이들이 많았기 때문인데요. 실제로 그런 게 아니야? 라고 생각하고 있을 분들을 위해 오늘은  직원 할인 항공권 의 이모저모에 대해 이야기해보도록..."
303,"최근에 보잉의 신형 항공기 737 맥스 기종의 잇따른 사고로 항공사들이 도입, 운용 중에 있는 항공기 기종에 대한 관심이 많이 늘었다. 국토교통부 항공안전관리시스템(http://atis.koca.go.kr)에 들어가면 국내에 등록되어 운행 중인 항공기에 대한 데이터를 제공하고 있다. 국내 항공사..."
304,지난해 LCC 성장 등으로 국내 항공사를 이용한 여행객 1억명 시대를 열었다. 국토교통부에 의하면 작년 국내 항공사의 총 여행객이 1억 1719만명. 1962년 한국 최초 항공사인 '대한항공공사(대한항공 전신)' 설립 이후 처음으로 연간 탑승객이 1억명을 돌파했다. 최근 몇 년 동안...
305,비행기를 자주 타게되는 요즘 여행에서 항공사마다 독특한 기내식을 맛보는것도 하나의 즐거움일듯 싶어요. 비행기 처음 탈때는 기내식을 엄청... 세계 여러 항공사의 항공기 기내식 사진으로나마 맛보기로해요.    1. 싱가포르 항공 (Singapore Airlines) 세계 여러곳에 취향중이라서 한국에서도...
306,남유타주립대 항공운항학과에서 올해의 항공사로 캐세이퍼시픽이 선정된 소식을 전해드립니다. 인천국제공항공사가 개최한 제3회 인천에어포트어워즈에서 캐세이퍼시픽항공이 올해의 항공사로 선정됐습니다. 캐세이퍼시픽은 올해 처음으로 선정된 항공사인데요. 주기장 정시성(출발예정시각...
307,"아시아나항공, 이코노미 첫열 지정 최대 15만원 LCC도 좌석지정 및 초과수하물 요금   항공사들의 부가서비스 요금이 큰 폭으로 인상됐다. 지난 7일 항공업계에 따르면 무료 서비스였던 기내식, 위탁수하물, 좌석지정 등을 순차적으로 유료로 전환한 데 이어 가격까지 증가하고..."
308,"언뜻 보기엔 대형항공사와 10만원 이상 차이가 나는 저가항공. 그런데 이게 사실 조삼모사 라는 거지요. 부대비용 다 따지면, 놀랍게도 엇비슷한... 서비스 비용 따지면 대형사와 별반 차이없어 최근 세계여행신문이라는 여행업계지 보도에 따르면 저비용항공사(LCC)들이 부가 운임을..."
309,"  국내 저가 항공사 비교, 취항지 정리   국내 저가항공사는  제주항공 ,  진에어 ,  이스타항공 ,  티웨이항공 , 에어부산  , 에어서울  이 있다. 에어부산을 제외한 나머지 항공들은 인천을 기점으로, 에어부산은 부산을 기점으로 운행했지만 요즘은 부산에서 바로 떠나는..."
310,"익숙한 항공사가 많습니다. 원월드는 1998년 아메리카항공, 영국항공, 캐세이퍼시픽, 콴타스항공, 캐나디안항공을 주축으로 설립되었습니다. 캐나디안항공은 에어캐나다에 합병되어 자연스레 탈퇴하게 됐습니다. (에어캐나다는 스타얼라이언스 소속 항공사입니다.) 원월드는..."
311,앞으로는 항공권 구입 이후 항공사가 운송약관을 일방적으로 바꾸더라도 이 내용이 소비자에게 불리한 내용이면 적용받지 않게 됩니다. 국토교통부는 7개 국적 항공사*들과 그동안 상대적으로 소비자에게 불리하고 항공사에 유리하게 적용되어 왔던 불공정 국내선 항공운송약관들을...
312,"2017년 9월 30일 기준으로 A380 주문대수는 317대이며 216대가 항공사에 인도되어 전세계를 운항하고 있다. A380 대당가격은 약 4,400억 정도이다. 현재 A380을 운항중인 항공사는 전세계 13개의 항공사가 운항중이다. 생각보다 많지는 않다.. 중동항공사들이 A380을 절반이상..."
313,"국토교통부에 따르면 항공여객이 증가한 것은 저비용항공사(LCC)가 신규노선과 운항을 확대하면서 크게 증가했기 때문인 것으로... 특히 국적 대형항공사의 운송실적은 전년대비 4.9% 증가한 반면, 국적 LCC의 실적은 전년대비 37.6% 증가했습니다. 전체 항공여객 중 국적사 분담률이..."
314,"항공사와 마일리지 적립 방법에 대해 설명해드리겠습니다. 저는 7월에 미국에서 유나이티드 항공을 3차례 이용했는데요, 유나이티드 항공은 스타얼라이언스 계열이기에 아시아나클럽 회원이라면 홈페이지에서 누락 마일리지를 적립할 수 있습니다. 먼저 스타얼라이언스 항공사 목록을..."
315,"""연착 짜증나요"" 운항지연율 1위 항공사는? 여행 전 날부터 공항 도착 직전까지, '여행을 떠난다'는 생각에 얼마나 두근두근 설레나요. 비행기에... 여행에 대한 설렘을 한풀 제대로 꺾어버리는 비행기 연착, 실제로 어떤 사유가 가장 잦은지, 또 어떤 항공사가 가장 연착률이 높은지..."
316,FAA 항공사 좌석 크기 규칙 요청을 다시 기각합니다. FAA는 항공사들이 더 많은 발언 공간을 제공하도록 강요하고 법정 최소 요구를 거부하고 선실 내 좌석이 비좁은 상황이 대피 위험을 제기 할 수 있다는 우려를 해소했습니다. 연방 항공국 (Federal Aviation Administration)은 작년 소송에서 소비자...
317,"IATA : OM ICAO : MGL Callsign : MONGOL AIR 훈누에어는 몽골의 항공사로 2011년 설립되었고 이전 사명은 몽골리안 항공이다. 울란바토르에 본사를 두고 징기스칸국제공항을 거점으로 운항하고 있다. 보유항공기는 총 5대로 ATR72 2대, 포커F50 3대를 보유중이다. IATA : MR..."
318,"인천국제공항공사는 올해 하반기 스카이팀 7개 항공사가 인천공항 제1터미널에서 제2터미널로 추가 이전한다고 1일 밝혔다. 이전 작업은 이르면 10월말 완료될 예정이다. 추가 이전이 확정된 항공사는 아에로멕시코, 알리탈리아, 중화항공, 가루다항공, 샤먼항공, 체코항공, 아에로플로트..."
319,이럼 취항 항공사를 알아볼까요 #남아공을 경유하여 입국 아프리카의 강대국인 남아프리카공화국의 국영항공사 남아프리카항공(SA)입니다 아시아나항공이 속해있는 스타얼라이언스의 제휴사인데 빅토리아폭포에 방문하는 80% 한국인이 이 루트로 입국하게 된다고 합니다 빅폴 - 요하네스버그...
320,떠나기 전에 알아두자:) 인천공항 제2여객터미널 항공사 & 제1여객터미널 항공사 추석이나 구정 연휴에 요즘 가까운 일본이나 동남아로 해외여행가시는 분들이 정말 많은데요~! 올해도 설연휴기간 중 출입국자수는 100만명이 넘을거라고 하네요!! 인천공항 제2여객터미널 오픈으로~ 이용하시는...
321,"스카이트랙스(Skytrax) 세계항공대상 2018년 북미 최고의 항공사 선정 지난 17일 영국의 독립 리서치 기관 스카이트랙스에 따르면 에어캐나다는 전 세계 항공사 승객 만족도에 대한 주요 평가 결과, 2년 연속 북미 최고의 항공사로 선정되는 영예를 안았습니다. < 사진 = Adam Tetzlaff/flicker..."
322,"실제 올 초에 파키스탄 국영항공사인 파키스탄국제항공(PIA)에서 7명이나 되는 승객을 통로에 태운 사건이 있었으니, 비행기가 무슨 입석이 있을 수 있느냐는 이야기는 쑥 들어간다. 그런데 그것이 실제로 일어났습니다라고 할까. 그리고 보니 당시 파키스탄국제항공 항공사의 변명도 우습다...."
323,LCC 공급과잉 우려에도 공격적 확장 제주항공 과감한 외형확대...여객수요 증가 기대 8개 국적 항공사가 내년에 도입하는 항공기 대수가 총 45대에 이를 것으로 예상된다. 여객수요 증가를 기대한 저비용항공사(LCC)들이 공급 과잉에 대한 우려에도 불구하고 공격적인 기단 확대를 통해...
324,이 같은 이유는 주 52시간 근무제가 시행된 이후 짧은 시간 안에 가까운 해외로 여행을 다녀오려는 사람이 증가하자 국내 저비용항공사들이 앞다퉈 해외 취항지를 늘리고 있기 때문이다. 또한 외국계 저비용항공사도 한국 시장을 보고 국내 노선을 확장하는데 나섰다. 이로 인해 소비자 선택의...
325,"한국 인천공항도 유명하지만 문제는, 위 3개 공항에 비해 환적량 처리 기준 상위 항공사(대형 항공사)들의 유치량에서 현저히 떨어지고 그나마 유치한 것들도 대다수는 영세한 중국 업체들임. (중국과의 거리 관계 상) 그리고 2003년 정기 화물 톤키로 순위 항공사중 대한항공이 2위를 차지함 결국..."
326,택시기사에게 욕설을 하고 파출소에서 경찰관을 밀치는 등 소란을 피운 혐의로 재판에 넘겨진 중소 항공사 대표가 징역형을 선고받았습니다. 서울서부지법 형사2단독 유현영 판사는 공무집행방해 혐의로 기소된 항공사 대표 김모씨(58)에게 징역 4개월과 집행유예 1년을 선고했다고 6일...
327,">_< 바로, 에어아시아 스카이트랙스 ' 세계 최고 저비용항공사 ' 로 10년 연속 선정되어서 특별한 시간을 가졌는데요.  모든 이가 하늘을 날 수... 수상 항목 중, 에어아시아는  세계 최고 저비용항공사 상 과  아시아 최고 저비용항공사 상 을 수상했는데요. 지난 2009년 첫 수상 이후 10년..."
328,여행을 떠날 때 꼭 확인해봐야 하는 것 중 하나가 항공사의 안전성이죠. 자주는 아니지만 간간이 항공기의 결함으로 인한 사고가 생겨 간담을 서늘하게 할 때가 있는데요. 또 유난히 작은 사건 사고가 잦은 항공사도 있습니다. 항공사와 항공기를 평가하는 웹사이트 에어라인 레이팅스...
329,킨즈에어플러스 40L유모차 기내반입유모차 항공사별 허용기준에 맞게 준비하기 지난주에 제가 실 사용기 한번 후기로 올렸었죠? 오늘은 여름휴가를 대비해서 항공사별 기준에 맞는지 한번 알아볼까 해요. 해외로 휴가 계획 세우고 계신 분들께 참고가 되면 좋겠어요. ^^ [ 개봉기는 이전 포스팅 참고...
330,주요 항공사들의 신규 취항지는 어디 '해외여행'하면 빼놓을 수 없는 것 중 하나가 항공사인데 최근 항공업계에도 여행 바람이 불어오고 있는 분위기라고 합니다. 다양한 프로모션과 새로운 목적지 취항을 연달아 보이고 있다고 합니다. 가보고 싶은 곳이 많아지고 가는 방법이 편해지게 되면...
331,"델타 마일리지, 에어로프랜 등 해외 항공사 마일리지는 제외했어요. 우리는 거의 대부분 대한항공과 아시아나를 우선 고려하죠 (더 많은 지식을... 두 항공사 마일리지가 있다는 가정하에 오늘은 두마일리지 사용시 차이점에 대한 소소한 Tip 알아볼께요. 1. 서로 다른 취항지와 비행기 시간 두..."
332,"삼성동 도심공항터미널 항공사 탑승수속/출국심사/리무진시간 안녕하세요 픽플 입니다 오늘은,,,정말 당황스러웠던 경험을 말씀드리려고 합니다. 저와 같은 경험 하시질 않길 바라는 마음으로요 ~~ 미국갈때 삼성동 도심공항터미널을 이용하는데요 ~ 이는, 항공사 탑승수속은 물론 출국심사..."
333,"항공사x스타 셰프의 협업 안녕하세요, 여플(여행+)입니다. 최근 몇년 사이에 저비용항공사 등도 급격하게 늘어나면서 해외 여행 떠나는 사람들이 늘어나고 있어요. 그래서인지 항공사들의 경쟁이 점점 치열해지고 있는데요, 더 많은 승객을 끌어모으기 위해 기내 서비스를 다각화하고 있답니다...."
334,"2019년 3월은 두 양대항공사에게 잊지못할 한 달이 되겠습니다. 3월 27일, 대한항공 조양호회장 재선임 반대로 대표이사 퇴임, 3월 28일... 국내 두 항공사를 2002년부터 경영하며 최일선에서 회사 대표이사로 지냈었는데요. 이제 두 항공사의 경영일선에서는 모두 물러나게 되었네요. IATA개최를..."
335,항공사의 기내용캐리어사이즈 및 구입관련 팁 직업 자체가 여행업에 종사하기 있기 때문에 해외에 많이 나가게 된다. 보통 인솔자들은 짐을... 기내용캐리어사이즈는 항공사별로 규정이 다르다는 것을 인지해야 한다. 전세계에 수많은 항공사가 있는데.. 기내용캐리어에 대한 규정은 각각...
336,홍콩공항 식당 스타벅스 터미널 2 항공사 홍콩 터미널 2를 이용하는 항공사입니다 저희는 이번에 이스타를 이용했는데 터미널 2 존 7이네요 공항에서 캐리어 무게를 확인할 수 있네요 도착하자마자 저 안쪽에 스타벅스가 보이네요 홍콩 여행하는 동안 수박주스를 못 봤기에 마지막 미련으로...
337,"어떤 항공사를 이용하셨는지요? 예전에는 아시아나,대한항공 2개의 항공사 있었지만.. 이때 독점(?) 아니였나 싶어요.. 지금은 사정이 많이 달라졌지요. 저가항공사가 등장하면서 점차 경쟁의 시대로 접어들어.. 가격이 저렴해지면서 접근성도 좋아졌답니다. 국내항공사는 7개..."
338,항공사가 늘어나면서 하늘길 경쟁이 갈수록 치열해지고 있다. 실제 최근 LCC(저비용 항공사)들을 중심으로 경제성이 증명된 특정 지역으로만 노선을 증편하는 쏠림 현상이 나타나고 있다. 이는 항공사 간 출혈 경쟁을 초래할 수 있다는 지적이다. 항공사들도 위기의식을 느끼며 변화를 꾀하고...
339,위에가 택배송장번호 아래가 항공사 송장번호 라고 생각하시믄 됩니다. 그럼 http://www.cargotracking.utopiax.org/ 접속합니다. 요 홈페이지로 들어오시게 될텐데... 여기서 CTRL+F 를 이용해 항공사송장번호의 앞자리 3개를 입력하여 해당 비행기를 찻아주시면 됩니다. 저같은 경우에는 항공사...
340,"오픈시간을 정해도 지지리 시간 끌다가 늦게 창구를 여는 외항LCC 항공사보며 그동안 답답함을 느끼다가, 칼같이 오픈하는 자랑스런(?)국적기를... 저비용항공사 기내에 개인 모니터가 있다니. 다낭으로 갈때는 좌석이 많이 빈채로 갔다. 저비용항공사중에서 가장 넓은 좌석을 자랑한다는 에어서울...."
341,"홍콩의 항공사 알아보기 [케세이,홍콩항공,HK익스프레스] [사진출처 : 바이두] 비즈니스와 여행의 도시 홍콩은 매일 비행기를 타고 오고 가는 사람들이 셀 수 없이 많은 곳입니다. 그렇기 때문에 홍콩의 항공사도 전 세계적으로 잘 알려졌는데요, 그중에서도 홍콩을 대표하는 3대 항공사에..."
342,[여행알파고] 항공사 직원이 알려주는 비행기의 비밀 잘 몰랐던 항공기의 8가지 사실 안녕하세요? 여플(여행+)입니다. 항공기에 대해 호기심을 갖고... # 비행기에서는 토마토 주스가 인기다 전 세계 200개 항공사의 평균 음료 소비량을 살펴보면 토마토주스가 1위입니다. 상공에서 혀의 미각이 3분의...
343,"해외여행 시 언제나 찾아올 수 있는 오버부킹 overbooking 이란 항공사에서 300개 좌석의 비행기에 ""노쇼 (no show) 예약만 하고 나타나지 않는 고객"" 을... 발생하면 항공사에서는 유인책으로 1년짜리 무료 항공권과 숙박을 제공해주는데 지난번에 처음으로 혜택을 받았습니다 귀국 날 밤에 공항..."
344,항공사가 가르쳐 주지않는 탑승객의 권리 10가지 대한항공에 따르면 작년인 2015년 국내 해외여행 인원이 전년보다 20% 늘어난 1931만명으로... 탑승객 본인의 과실이 아닌이상 피해를 보게되는 탑승객에게 항공사가 보상이 이루어져야 하는데 항공사는 당연히 자사에게 편한 방법으로 보상을...
345,"국내 저비용항공사 5곳가운데 최하위.. 하지만 2017년도는 매출5840억원. 영업이익 470억원을 달성하며 제주항공,진에어 다음으로 3위로... 또한, 하루중 항공기 운항 시간이 국내 항공사 중 가장 높은 60.6%의 가동률을 기록했다. 9개국 47개 정기노선을 바탕으로 3년간 연평균 매출 48%의..."
346,"스타얼라이언스, 스카이팀, 원월드 등 항공사 업계의 3대 글로벌 얼라이언스 Global Alliance 현황은 아래와 같다 (2018년 5월 기준)... com/ 스타얼라이언스 멤버 회원사의 항공사 로고 https://www.skyteam.com/ko/about/ 스카이팀 회원사의 항공사 로고 https://www.oneworld.com/ 원월드..."
347,오늘은 항공권을 저렴하게 구입하는 데 큰 도움이 되는 항공사 마일리지 활용법에 대해 알아보겠습니다. 1. 마일리지 현명하게 모으기 1) 같은 항공사 얼라이언스 이용하기 항공사 얼라이언스(Alliance) 또는 항공사 동맹체는 회원 항공사끼리 서로 이용을 장려하며 이용 고객에게 혜택을 주고...
348,"우리나라에서는 아직 공항,항공사 홍보사가되기위해서는 국내항공사의 경우 아시아나항공 - 플라잉마케터 제주항공 - 조이버 이스타항공 - 윙스타 진에어 - 그린서포터즈 외항사로는 에어마카오 서포터즈, 타이항공 서포터즈 등이 있습니다. 요즘 저비용 고효율의 온라인 마케팅이 화두가 되면서..."
349,"항공사 로고 베스트 30 + @ 1편에 이어 2편 들어갑니다~ 1편 http://jayjaewonhan.blog.me/198684593 가루다인도네시아항공은 1950년대 독수리를... 걸프에어(Gulf Air) 바레인의 항공사고요, 보시다시피 황금독수리에요. 현재의 모습은 2004년에 변경된로고인데 항공기 꼬리날개 전체에 걸쳐..."
350,"맥스8을 운영해본 뒤 수익성에 따라 좌석 수가 많은 맥스10을 도입하겠다는 계획이다 에어부산과 에어서울 항공사가 선택한 네오는... 네오 역시 기존 에어부산이 운영하고 있던 A321-200, A320-200보다 연료 효율이 20% 정도 좋다고 알려져 있다 다만 항공산업이 매번 성장세를 이어갈수는..."
351,스타얼라이언스 & 스카이팀 제휴 항공사 여행을 준비하는 태도가 예전과 조금씩 달라지네요. 예전엔 항공권이 무언지 굳이 확인하지 않았는데 이젠 외국 항공사일우 스타얼라이언스 제휴 항공사인지 아니면 스카이팀 제휴 항공사인지 꼭 확인하게 되네요. 이왕 타는거 마일리지 적립되면 좋잖아요....
352,알리익스프레스(AliExpress) 항공사가 허용하는 발송.. 도대체 언제까지 항공사가 허용하는지..   - experience: 12월 알리익스프레스로 주문... 이후 도착을 안함... 한참을 기다려도 안하다가 어느날 택배가 도착함... @.@ - 택배 도착하기 까지의 과정 * 2018-12-31 00:37 주문...
353,26(5박6일) 영국령 저지섬 휴양여행 영국여행 :: 영국 항공사 플라이비(Flybe)후기 사우샘프턴-저지섬-엑시터(Exeter) 저지섬 가는 길 영국 남부에서... 항공사와 연계된 택시를 타고 바로 사우샘프턴으로 2시간 넘게 갔다. 우리이외의 다른 분들 2명과 함께 하필이면 공항 근처 도로에서 자동차사고까지...
354,skift라는 사이트에서 세계에서 멋져보이는 항공사 로고 30개를 선정했는데요딱히 기준이 나와있지도 않고 개인취향에 관한 부분이긴한데 평소 접해보지 못하는 항공사도 많아 한번 소개해봐요.우리나라항공사는 선정되지 않았네요    작년에 세계에서 가장 화려한(컬러플)한...
355,"요즘 항공사에서 아시안이라고 좀 차별받고 그런게 워낙 많다보니 긴장을 했나 봅니다... 미국에 사는 브라질 사람들인지, 아님 누군지... 음식이 너무 맛있어서 라탐 항공사가 갑자기 좋아집니다! 항공사 이미지가 갑자기 급 상승 하기 시작했죠!! 이건 아침식사 입니다! 사실 앞에 아줌마..."
356,"항공사별 ""코트룸 서비스"" 이용방법 보기 대한항공(한진택배,CJ대한통운)  기간: 12월1일~내년 2월  대상: 인천공항/김해공항 대한항공... 각 항공사 국제선 항공권 이용 고객 (에어서울은 홈페이지 회원도 가능) (에어서울의 경우 홈페이지 회원으로 가입만 돼 있어도 코트룸 서비스를..."
357,"일본 항공사니 당연히 도쿄의 라운지가 해외 라운지보다 별로겠지요. 하지만 저는 도쿄에서 ANA를 탑승해본 적이 있고, 도쿄의 ANA 라운지는... 역시 일본 항공사구나 싶었습니다. 기내 엔터테인먼트는 둘의 차이를 딱히 느끼지 못했습니다. 둘 다 잘 갖춰 놓았습니다. 아시아나의 32인치 초대형..."
358,"저가항공사들에 대한 이야기를 해볼까 합니다~ 항공의 대중화에 큰 공헌을 한게 저가 항공사들이겠죠? 저도 올해 저가항공사를 이용해서 제주도에 갔다 왔는데요~ 말이 저가항공사지만 그 서비스의 품질이나, 노선 개척을 보면 우리나라 LCC의 수준은 매우매우 높은것 같습니다! 이러한 LCC 들이..."
359,저가항공이나 수화물 제한인 항공사를 이용할 때 가장 예민한 부분이 수화물 무게죠! 여객수화물 측정할 수 있는 저울도 있었답니다. 제가 이용한... 매번 여행가기 전에 인천공항에서 헤매지 않기 위해서 미리미리 인천공항 항공사 카운터 정도는 알아두는 편인데 이번에 갈 때 이렇게 나와있는...
360,"- 어떤 항공사] 꽤 오래 전부터 아래 항공사를 가끔 이용해왔다. 필리핀이 개인적으로는 연구대상이기도 해서이다. 필리핀항공보다 더 저렴하다. 이 항공사가 정확히 LCC에 속하는지는 모르겠으나, 운영은 그런 식으로 하는 것으로 느껴진다. 값싸게 타는 만큼, 그로 인한 불편함을 탓할 생각은..."
361,"여행업계 역시 예외는 아닌데요, SNS를 둘러보다가 항공사들의 해시태그 마케팅이 눈에 띄어서 여러 업체의 사례를 모아 볼까 했더니 막상... 에어프랑스는 저에게 스타일리시한 광고를 잘 만드는 항공사로 각인돼 있네요   두 번째 사례는 유럽과 발칸을 연결하는 인기 유럽..."
362,"항상 설레임으로 다가오는 인천공항 10월28일부터 제2여객터미널 항공사 추가 소식이 있습니다. 인천공항 ""제2여객터미널"" 기존에는 4개의 항공사 대한항공,델타,에어프랑스,KLM만 가능했죠 10월28일부터 7개의 항공사가 추가되어 운영된다고 합니다. 터미널 간의..."
363,작성자 여행신문 차민경 작성일2018-05-14 -항공사-여행사 간 감탄고토 협력관계 -안정적 시리즈에 목마른 여행사  답답  항공사와 여행사가 매 시즌마다 불편한 동거를 이어가고 있다.  달면 삼키고 쓰면 뱉는  감탄고토식 협력관계에 피로감도 높아지고 있다. 최근 A 여행사는 B 국적LCC의 판매를...
