,title,url
50,신생 소형프리미엄 항공사 에어필립을 타보다!,https://www.youtube.com/watch?v=avNg9WFdbL4
51,[Ranking Up] 세계 항공사 순위 TOP 10[오타많음 주의],https://www.youtube.com/watch?v=TFrxXL1PBIk
52,"승무원 메이저 항공사와 저비용항공사 일하는환경, 월급, 분위기 어떻게 다를까? Full service carrier and low cost carrier",https://www.youtube.com/watch?v=jM-QKTYRji8
53,저비용 항공사 9개   '동반몰락' 우려,https://www.youtube.com/watch?v=JLJIeGsrd_w
54,[이슈 수다] 항공사는 비엣젯 항공사로 가야하는 이유,https://www.youtube.com/watch?v=ytsDP3Zhfjs
55,[성공취업 X-File 170814] 항공사 롤플레이 면접 실전 대비/ 최지연 컨설턴트,https://www.youtube.com/watch?v=sNV4lOMtpsk
56,당신이 모르는 기내 서비스 [항공사 때려친 언니들],https://www.youtube.com/watch?v=ukorJPKQq3w
57,또 시끄러운 미국 항공사 이번엔 조종사가 승객 폭행 / 연합뉴스TV (YonhapnewsTV),https://www.youtube.com/watch?v=CRNI7tcHH-I
58,[투데이 매거진] 하늘길 절반 장악 저비용 항공사 '약진' (2018.06.22/뉴스투데이/MBC),https://www.youtube.com/watch?v=_dvRkkQQqh4
59,실제로 존재한다고 믿기 어려운 이상한 항공사,https://www.youtube.com/watch?v=CcvUdVQqinA
60,"싱가포르 항공사 비행기, 엔진에 불붙어 , 승객들은 비행기에 갇혀 보고만 있을 뿐",https://www.youtube.com/watch?v=RUe20BTllD4
61,에어부산 공채 총정리[항공사 때려친 언니들],https://www.youtube.com/watch?v=CAZIN71VTXo
62,항공사 미팅 중 내 이름을 외친 이 분,https://www.youtube.com/watch?v=bFlUwxfRIAM
63,세계 최악의 항공사 고려항공을 타고 방문하는 평양!(가상여행) 빨간토마토,https://www.youtube.com/watch?v=0rJTL5ToUw0
64,이렇게 면접 봐야 합격합니다. 여러분 [항공사 때려친 언니들],https://www.youtube.com/watch?v=nFp5gKBHhrg
65,여행할때 피야햐할 최악의 항공사 순위 TOP10,https://www.youtube.com/watch?v=x16GAH8jPkM
66,"비키니 항공사 CEO, 첫 베트남 여성 억만장자",https://www.youtube.com/watch?v=UMuk9e4AB5s
67,[손바닥경제] 저가항공사 면허 3곳 추가...그 영향은?,https://www.youtube.com/watch?v=iWIdMyAurJ4
68,들으면 들을수록 놀라운 승객 에피소드[항공사 때려친 언니들],https://www.youtube.com/watch?v=xpGPbsO2bhE
69,항공사가 숨기는 탑승객의 권리 top10,https://www.youtube.com/watch?v=PjXiNGKeDME
70,[KNN 뉴스]못 믿을 저비용항공사 이유 있었다,https://www.youtube.com/watch?v=JbvBxyQ-Gug
71,"유나이티드 항공사 비행기에서 연료가 샌다고 보고해 많은 목숨 살린 신혼부부, 푸대접 받아",https://www.youtube.com/watch?v=9Vt3FFhWWNw
72,싼 게 비지떡?...외국계 저비용항공사 피해 급증 / YTN,https://www.youtube.com/watch?v=39ZJCyuknas
73,세계최초의 항공사 KLM 항공의 역사 History of world's first airline KLM Airlines,https://www.youtube.com/watch?v=CSiPjWflU0Y
74,승무원 언니들의 다이어트 비결 대공개![항공사 때려친 언니들],https://www.youtube.com/watch?v=opJMlNfEfeQ
75,"#중국항공사 승무원의 비행   , 바쁜척하는일상, 장거리비행, 노드그린 시계 언박싱",https://www.youtube.com/watch?v=5FKNltnoWcE
76,"[비행vlog] 중동항공사 승무원의 취리히, 콜롬보 레이오버. 마트쇼핑. 티쇼핑",https://www.youtube.com/watch?v=wH9g0aiC6UE
77,기내식이 가장 맛없는 항공사 TOP5,https://www.youtube.com/watch?v=B4uH6rL_9n0
78,국내항공사VS외항사 면접 차이?,https://www.youtube.com/watch?v=ErKX_OQ4OLc
79,"저가항공사 주식 매수,매도 타이밍 / 이때 사면 수익률 1000% / 제주항공, 진에어, 티웨이항공, 에어부산",https://www.youtube.com/watch?v=2H03vOAYQ-k
80,승객 끌어내린 미 항공사 논란 계속 거액 소송 직면,https://www.youtube.com/watch?v=7HtC38CcjSE
81,연주자라면 피해야할 항공사 TOP 3 l 안전하게 악기 가져가는법,https://www.youtube.com/watch?v=ehkQUdgt8KU
82,양띵 [세계 최고의 항공사를 뽑는 대회! '더 스카이(The Sky)' 1편 / 다주파 제작] 마인크래프트,https://www.youtube.com/watch?v=dhg42gab2mo
83,LCC 항공사 승무원 면접은 이 것을 모르면 안된다,https://www.youtube.com/watch?v=I9kuPIEn4NY
84,승객은 모르는 벙커의 비밀[항공사 때려친 언니들],https://www.youtube.com/watch?v=Z-c_XDjASRo
85," 보잉 737 맥스  국내 비행 영공 통과 금지 항공사, 대책 고심 / KBS뉴스(News)",https://www.youtube.com/watch?v=3l1XGYug8G8
86,항공사 승무원은 나야나!멋진 플레이도우 인형옷만들기 스튜어디스 유니폼의 주인공은? 디즈니 애니메이션 미미인형드라마 barbie인형의 장난감 재미있는 인형극 어린이채널 모모TV,https://www.youtube.com/watch?v=VZ1pQ-vVFjk
87,"항공사별 화장법 그것이 궁금하니?! (ft.대한항공, 아시아나항공) [비행소녀단] 오사카 10회 by 모비딕 Mobidic",https://www.youtube.com/watch?v=515YvqcNuTc
88,"미얀마 1일차, 저가항공사로 미얀마 들어가기, 빡셈주의, 탈진주의, 허리 못폄 - 하무티비, hamutv,        ",https://www.youtube.com/watch?v=zzBxvQ3qC1g
89,대한항공 서류 합격 보장 영상 [항공사 때려친 언니들],https://www.youtube.com/watch?v=1LulNEQQWTc
90,에미레이트 MAKE-UP 코칭[항공사 때려친 언니들],https://www.youtube.com/watch?v=mAHGHWQR6tk
91,'지역항공사' 설립 검토...현실성은?-R (190325월/뉴스데스크),https://www.youtube.com/watch?v=Gtqc-QFjMLk
92,"중국항공사승무원일상  (동기언니룸투어 ,회사앞탕후루 ,타오바오언박싱, 한국어패치고장 ",https://www.youtube.com/watch?v=qXOT93cvGoE
93,우리나라 저가항공사를 알아보자!,https://www.youtube.com/watch?v=PitMf8LrfqU
94,몸살 앓는 항공사 잇따른 노조 갈등  왜 ,https://www.youtube.com/watch?v=ZJP3fkdl8Nc
95,중국항공사 승무원이 알려주는 중국어 공부 방버 ! | 중국어 잘하고 싶으신 분 꼭 보세요,https://www.youtube.com/watch?v=DSwJVM1AeuQ
96,[아경TV] 7번째 LCC 도전장 에어필립  호남 대표하는 항공사 될 것  포부,https://www.youtube.com/watch?v=qhYgLSEubEE
97,"비엣젯 항공사, 승무원들의 비키니 쇼에 사과",https://www.youtube.com/watch?v=hObpxmdqrb8
98,승무원이 말하는 항공운항과[항공사 때려친 언니들],https://www.youtube.com/watch?v=74csP7Ytq54
99,항공사 퍼스트 등급 여행 (거의)한번에 따는법,https://www.youtube.com/watch?v=usAx_I8rEY8
100,105억 투자 받은 신생항공사 에어프레미아는? 7분 air talks,https://www.youtube.com/watch?v=FLMR4vu__-s
101,[광주] 호남 기반 민간 항공사 '에어필립' 첫 날개 활짝,https://www.youtube.com/watch?v=VfSQte6INPI
102,항공사 직원의 여권 훔쳐보기 (feat.여행 어디까지가봤니???),https://www.youtube.com/watch?v=hKR8FLLuieA
103,"[남방동방채용초읽기] 중국항공사승무원면접, 국내랑 뭐가 다른데?",https://www.youtube.com/watch?v=7YjYxldu8Go
104,"가장 안전한 항공사의 실수, 싱가포르 006편.",https://www.youtube.com/watch?v=QS_rAq-YiLM
105,"[취재N팩트]   항공사 갑질 끝은 어디?... 델타, 가족 내쫓아 / YTN",https://www.youtube.com/watch?v=kw5eb0e71zY
106,"중국어| 장거리비행, 아주짧은Q&A, 중국항공사승무원 브이로그.",https://www.youtube.com/watch?v=Wzahl2gT-kg
107,대한항공에서 중국항공사로 스카우트 된 충격적인 파일럿 연봉- 트래블튜브,https://www.youtube.com/watch?v=Ap3eSQbSUvQ
108,중국동방항공의 현실_한국인 승무원 채용 중단?,https://www.youtube.com/watch?v=Xk8YXdBWmOA
